               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  97,            0.066156,            0.032728,           0.0084052,             0.45942,             0.79058,             0.55988,              0.1894,            0.058726,            0.020153,           0.0045673,            0.006595,            0.006595,            0.009595
                  98,            0.064941,            0.043942,           0.0066462,             0.45942,             0.79058,             0.55988,              0.1894,            0.058726,            0.020153,           0.0045673,           0.0066307,           0.0066307,           0.0086307
                  99,            0.065469,            0.049678,           0.0071095,             0.28456,             0.32558,              0.2268,            0.045259,            0.070936,            0.020278,           0.0043448,           0.0066657,           0.0066657,           0.0076657
                 100,            0.077387,            0.038303,           0.0075357,             0.28456,             0.32558,              0.2268,            0.045259,            0.070936,            0.020278,           0.0043448,              0.0067,              0.0067,              0.0067
                 101,            0.078129,            0.028093,           0.0090679,             0.28456,             0.32558,              0.2268,            0.045259,            0.070936,            0.020278,           0.0043448,              0.0067,              0.0067,              0.0067
                 102,            0.076573,             0.03273,           0.0071532,             0.28456,             0.32558,              0.2268,            0.045259,            0.070936,            0.020278,           0.0043448,            0.006667,            0.006667,            0.006667
                 103,             0.07632,            0.028693,           0.0072845,             0.21081,             0.81381,             0.22807,            0.053156,            0.068415,            0.019054,            0.004306,            0.006634,            0.006634,            0.006634
                 104,            0.070241,            0.035448,           0.0058006,             0.21081,             0.81381,             0.22807,            0.053156,            0.068415,            0.019054,            0.004306,            0.006601,            0.006601,            0.006601
                 105,            0.072048,            0.036221,              0.0069,             0.21081,             0.81381,             0.22807,            0.053156,            0.068415,            0.019054,            0.004306,            0.006568,            0.006568,            0.006568
                 106,            0.069951,            0.040714,           0.0062385,             0.21081,             0.81381,             0.22807,            0.053156,            0.068415,            0.019054,            0.004306,            0.006535,            0.006535,            0.006535
                 107,            0.071531,            0.032508,            0.006173,             0.25732,             0.93023,             0.29267,            0.059502,            0.057187,            0.018673,           0.0043124,            0.006502,            0.006502,            0.006502
                 108,            0.064877,            0.033551,           0.0061469,             0.25732,             0.93023,             0.29267,            0.059502,            0.057187,            0.018673,           0.0043124,            0.006469,            0.006469,            0.006469
                 109,            0.061217,            0.033971,           0.0061379,             0.25732,             0.93023,             0.29267,            0.059502,            0.057187,            0.018673,           0.0043124,            0.006436,            0.006436,            0.006436
                 110,            0.059273,            0.034801,            0.005767,             0.25732,             0.93023,             0.29267,            0.059502,            0.057187,            0.018673,           0.0043124,            0.006403,            0.006403,            0.006403
                 111,            0.062814,            0.030321,            0.006235,             0.49938,              0.5814,             0.55288,             0.15116,            0.054303,            0.017871,           0.0042626,             0.00637,             0.00637,             0.00637
                 112,            0.056469,            0.032414,           0.0059622,             0.49938,              0.5814,             0.55288,             0.15116,            0.054303,            0.017871,           0.0042626,            0.006337,            0.006337,            0.006337
                 113,            0.061216,            0.037467,           0.0066923,             0.49938,              0.5814,             0.55288,             0.15116,            0.054303,            0.017871,           0.0042626,            0.006304,            0.006304,            0.006304
                 114,            0.059631,            0.041888,           0.0060946,             0.49938,              0.5814,             0.55288,             0.15116,            0.054303,            0.017871,           0.0042626,            0.006271,            0.006271,            0.006271
                 115,            0.055896,             0.03518,           0.0054553,             0.52417,             0.72093,             0.66257,             0.24884,            0.052396,            0.017837,           0.0042993,            0.006238,            0.006238,            0.006238
                 116,            0.063018,            0.031898,           0.0078129,             0.52417,             0.72093,             0.66257,             0.24884,            0.052396,            0.017837,           0.0042993,            0.006205,            0.006205,            0.006205
                 117,            0.060881,            0.034446,           0.0070688,             0.52417,             0.72093,             0.66257,             0.24884,            0.052396,            0.017837,           0.0042993,            0.006172,            0.006172,            0.006172
                 118,            0.057334,            0.030231,           0.0058244,             0.52417,             0.72093,             0.66257,             0.24884,            0.052396,            0.017837,           0.0042993,            0.006139,            0.006139,            0.006139
                 119,            0.062639,            0.046979,           0.0069176,             0.47264,              0.8129,             0.57462,             0.17919,            0.057969,            0.017598,           0.0041511,            0.006106,            0.006106,            0.006106
                 120,            0.065542,            0.028963,           0.0062269,             0.47264,              0.8129,             0.57462,             0.17919,            0.057969,            0.017598,           0.0041511,            0.006073,            0.006073,            0.006073
                 121,            0.063154,            0.043139,           0.0059376,             0.47264,              0.8129,             0.57462,             0.17919,            0.057969,            0.017598,           0.0041511,             0.00604,             0.00604,             0.00604
                 122,            0.062773,            0.034684,             0.00603,             0.47264,              0.8129,             0.57462,             0.17919,            0.057969,            0.017598,           0.0041511,            0.006007,            0.006007,            0.006007
                 123,            0.060134,            0.035026,            0.006051,             0.46432,             0.76602,             0.55184,             0.21421,            0.053759,            0.017516,           0.0040908,            0.005974,            0.005974,            0.005974
                 124,            0.057566,            0.029448,           0.0050801,             0.46432,             0.76602,             0.55184,             0.21421,            0.053759,            0.017516,           0.0040908,            0.005941,            0.005941,            0.005941
                 125,            0.055597,            0.029547,           0.0053762,             0.46432,             0.76602,             0.55184,             0.21421,            0.053759,            0.017516,           0.0040908,            0.005908,            0.005908,            0.005908
                 126,            0.059226,            0.031746,            0.005705,             0.46432,             0.76602,             0.55184,             0.21421,            0.053759,            0.017516,           0.0040908,            0.005875,            0.005875,            0.005875
                 127,            0.059853,            0.034767,           0.0057144,             0.63791,             0.74419,              0.6824,               0.271,            0.051485,            0.017207,           0.0039898,            0.005842,            0.005842,            0.005842
                 128,            0.055531,            0.041893,           0.0054678,             0.63791,             0.74419,              0.6824,               0.271,            0.051485,            0.017207,           0.0039898,            0.005809,            0.005809,            0.005809
                 129,            0.057322,             0.03343,           0.0057931,             0.63791,             0.74419,              0.6824,               0.271,            0.051485,            0.017207,           0.0039898,            0.005776,            0.005776,            0.005776
                 130,            0.056249,            0.037676,           0.0056093,             0.63791,             0.74419,              0.6824,               0.271,            0.051485,            0.017207,           0.0039898,            0.005743,            0.005743,            0.005743
                 131,            0.055827,            0.037297,           0.0055541,             0.76386,              0.7907,             0.81022,             0.36792,            0.051518,            0.017318,           0.0039049,             0.00571,             0.00571,             0.00571
                 132,             0.05956,            0.028272,           0.0061065,             0.76386,              0.7907,             0.81022,             0.36792,            0.051518,            0.017318,           0.0039049,            0.005677,            0.005677,            0.005677
                 133,            0.057458,              0.0335,           0.0054432,             0.76386,              0.7907,             0.81022,             0.36792,            0.051518,            0.017318,           0.0039049,            0.005644,            0.005644,            0.005644
                 134,              0.0582,            0.028512,           0.0050448,             0.76386,              0.7907,             0.81022,             0.36792,            0.051518,            0.017318,           0.0039049,            0.005611,            0.005611,            0.005611
                 135,            0.059086,            0.038116,           0.0055023,             0.81345,             0.81395,             0.82913,             0.38124,            0.044602,            0.017269,            0.003807,            0.005578,            0.005578,            0.005578
                 136,            0.054745,            0.035214,           0.0062405,             0.81345,             0.81395,             0.82913,             0.38124,            0.044602,            0.017269,            0.003807,            0.005545,            0.005545,            0.005545
                 137,            0.046623,            0.031171,           0.0047899,             0.81345,             0.81395,             0.82913,             0.38124,            0.044602,            0.017269,            0.003807,            0.005512,            0.005512,            0.005512
                 138,            0.047349,            0.030102,            0.005432,             0.81345,             0.81395,             0.82913,             0.38124,            0.044602,            0.017269,            0.003807,            0.005479,            0.005479,            0.005479
                 139,            0.050443,            0.039898,           0.0055674,             0.89356,              0.7907,             0.87802,             0.45326,            0.049355,             0.01843,           0.0036617,            0.005446,            0.005446,            0.005446
                 140,            0.057763,            0.030791,           0.0049903,             0.89356,              0.7907,             0.87802,             0.45326,            0.049355,             0.01843,           0.0036617,            0.005413,            0.005413,            0.005413
                 141,            0.058118,            0.036965,           0.0055354,             0.89356,              0.7907,             0.87802,             0.45326,            0.049355,             0.01843,           0.0036617,             0.00538,             0.00538,             0.00538
                 142,            0.055663,            0.029542,           0.0050702,             0.89356,              0.7907,             0.87802,             0.45326,            0.049355,             0.01843,           0.0036617,            0.005347,            0.005347,            0.005347
                 143,            0.055136,            0.034104,           0.0048868,             0.83685,             0.83721,             0.86225,             0.36835,            0.047381,            0.017576,           0.0036467,            0.005314,            0.005314,            0.005314
                 144,            0.052802,            0.031795,            0.005224,             0.83685,             0.83721,             0.86225,             0.36835,            0.047381,            0.017576,           0.0036467,            0.005281,            0.005281,            0.005281
                 145,            0.051909,            0.040853,           0.0049683,             0.83685,             0.83721,             0.86225,             0.36835,            0.047381,            0.017576,           0.0036467,            0.005248,            0.005248,            0.005248
                 146,            0.051648,            0.036662,            0.005382,             0.83685,             0.83721,             0.86225,             0.36835,            0.047381,            0.017576,           0.0036467,            0.005215,            0.005215,            0.005215
                 147,            0.054893,            0.038448,            0.005681,              0.6999,             0.81359,             0.80006,             0.32785,            0.046806,            0.017332,           0.0036792,            0.005182,            0.005182,            0.005182
                 148,             0.05169,            0.036777,           0.0045119,              0.6999,             0.81359,             0.80006,             0.32785,            0.046806,            0.017332,           0.0036792,            0.005149,            0.005149,            0.005149
                 149,            0.053133,            0.031578,           0.0049231,              0.6999,             0.81359,             0.80006,             0.32785,            0.046806,            0.017332,           0.0036792,            0.005116,            0.005116,            0.005116
                 150,            0.051539,            0.036646,           0.0048353,              0.6999,             0.81359,             0.80006,             0.32785,            0.046806,            0.017332,           0.0036792,            0.005083,            0.005083,            0.005083
                 151,            0.052164,            0.033919,           0.0048134,              0.8137,              0.8126,             0.86433,              0.3767,            0.042557,            0.017188,             0.00368,             0.00505,             0.00505,             0.00505
                 152,            0.049151,             0.03034,           0.0047353,              0.8137,              0.8126,             0.86433,              0.3767,            0.042557,            0.017188,             0.00368,            0.005017,            0.005017,            0.005017
                 153,            0.048046,            0.032551,           0.0047404,              0.8137,              0.8126,             0.86433,              0.3767,            0.042557,            0.017188,             0.00368,            0.004984,            0.004984,            0.004984
                 154,             0.04648,            0.036401,           0.0047307,              0.8137,              0.8126,             0.86433,              0.3767,            0.042557,            0.017188,             0.00368,            0.004951,            0.004951,            0.004951
                 155,            0.046557,            0.026238,           0.0046248,              0.8652,             0.90698,             0.87865,             0.47118,            0.045863,            0.016327,            0.003684,            0.004918,            0.004918,            0.004918
                 156,            0.049724,            0.032678,           0.0047485,              0.8652,             0.90698,             0.87865,             0.47118,            0.045863,            0.016327,            0.003684,            0.004885,            0.004885,            0.004885
                 157,            0.045657,            0.034156,             0.00441,              0.8652,             0.90698,             0.87865,             0.47118,            0.045863,            0.016327,            0.003684,            0.004852,            0.004852,            0.004852
                 158,            0.050177,            0.034894,           0.0050442,              0.8652,             0.90698,             0.87865,             0.47118,            0.045863,            0.016327,            0.003684,            0.004819,            0.004819,            0.004819
